Year,State,date,city,manner_of_death
2022,Washington,2022-09-22,Sequim,shot
2022,Tennessee,2022-03-11,Covington,shot
2022,Ohio,2022-04-01,Youngstown,shot
2022,Pennsylvania,2022-03-31,Lebanon,shot
2022,South Dakota,2022-03-31,Sioux Falls,shot
2022,Oregon,2022-03-31,Scappoose,shot
2022,Michigan,2022-03-31,Columbia Township,shot
2022,Florida,2022-03-31,Miami-Dade County,shot
2022,California,2022-03-30,San Diego,shot
2022,Arkansas,2022-03-30,Atkins,shot
2022,Alaska,2022-03-29,Wasilla,shot
2022,California,2022-03-29,Hesperia,shot
2022,Pennsylvania,2022-03-29,Mifflin Township,shot
2022,California,2022-03-29,Fresno,shot
2022,Arizona,2022-03-29,Tucson,shot
2022,Indiana,2022-03-29,Greenwood,shot
2022,Nevada,2022-03-28,Las Vegas,shot
2022,Texas,2022-03-27,San Benito,shot
2022,New Mexico,2022-03-27,Chaves County,shot
2022,Arizona,2022-03-27,Maricopa,shot
2022,Arizona,2022-03-27,Fort Mohave,shot
2022,Florida,2022-03-27,Margate,shot
2022,Kentucky,2022-03-27,Lexington,shot
2022,South Carolina,2022-04-01,Spartanburg County,shot
2022,New Mexico,2022-04-01,Albuquerque,shot
2022,Florida,2022-04-01,Sarasota,shot
2022,California,2022-04-04,Jurupa Valley,shot
2022,California,2022-04-06,Panorama City,shot
2022,Georgia,2022-04-06,Cobb County,shot
2022,Texas,2022-04-05,Killeen,shot
2022,Minnesota,2022-04-05,Roseville,shot
2022,Tennessee,2022-04-05,Madison County,shot
2022,North Carolina,2022-04-05,Swan Quarter,shot
2022,Wyoming,2022-04-05,Cheyenne,shot
2022,California,2022-04-04,Mira Loma,shot
2022,Missouri,2022-04-04,St. Louis,shot
2022,Michigan,2022-04-04,Grand Rapids,shot
2022,West Virginia,2022-04-01,Hardy County,shot
2022,Illinois,2022-04-03,Chicago,shot
2022,Arkansas,2022-04-03,Wynne,shot
2022,Arizona,2022-04-03,Tucson,shot
2022,Illinois,2022-04-03,Oak Forest,shot
2022,Tennessee,2022-04-03,Newport,shot
2022,Illinois,2022-04-02,Pana,shot
2022,Georgia,2022-04-02,Savannah,shot
2022,Tennessee,2022-04-02,Charleston,shot
2022,Oklahoma,2022-04-02,Oklahoma City,shot
2022,Kansas,2022-03-26,Baxter Springs,shot
2022,Utah,2022-03-26,Salt Lake City,shot
2022,Florida,2022-03-26,Indian River County,shot
2022,Virginia,2022-03-14,Covington,shot
2022,Missouri,2022-03-17,Bonne Terre,shot
2022,Washington,2022-03-16,Seattle,shot
2022,Washington,2022-03-16,Tacoma,shot
2022,Texas,2022-03-15,Hurst,shot
2022,North Carolina,2022-03-15,Monroe,shot
2022,Georgia,2022-03-15,Canton,shot
2022,Washington,2022-03-15,Spanaway,shot
2022,Illinois,2022-03-14,Shorewood,shot
2022,Texas,2022-03-14,San Antonio,shot
2022,Illinois,2022-03-14,Crest Hill,shot
2022,Nevada,2022-03-17,Lake Mead,shot
2022,New Mexico,2022-03-14,Albuquerque,shot
2022,Washington,2022-03-13,Pasco,shot
2022,California,2022-03-13,Palmdale,shot
2022,Alabama,2022-03-12,Lauderdale County,shot
2022,California,2022-03-12,Sonora,shot
2022,Arizona,2022-03-12,Phoenix,shot
2022,Georgia,2022-03-12,Loganville,shot
2022,Arizona,2022-03-12,Tucson,shot
2022,Alabama,2022-03-12,Decatur,shot
2022,Florida,2022-03-17,Lehigh Acres,shot
2022,Virginia,2022-03-18,Sterling,shot
2022,South Dakota,2022-03-26,Rapid City,shot
2022,Tennessee,2022-03-21,Tellico Plains,shot
2022,Oklahoma,2022-03-26,Ada,shot
2022,Florida,2022-03-25,Dunnellon,shot
2022,Massachusetts,2022-03-25,Pittsfield,shot
2022,Florida,2022-03-24,Broward County,shot
2022,Georgia,2022-03-23,Commerce,shot
2022,Georgia,2022-03-23,Clayton County,shot
2022,Arizona,2022-03-22,Chandler,shot
2022,California,2022-03-22,Discovery Bay,shot
2022,Wyoming,2022-03-21,Gillette,shot
2022,Arkansas,2022-03-21,Texarkana,shot
2022,Kentucky,2022-03-18,Louisville,shot
2022,Michigan,2022-03-20,Kalamazoo,shot
2022,Montana,2022-03-19,Great Falls,shot
2022,South Dakota,2022-03-19,Hanson County,shot
2022,Arizona,2022-03-19,Peoria,shot
2022,New Mexico,2022-03-19,Albuquerque,shot
2022,South Carolina,2022-03-19,Columbia,shot
2022,Delaware,2022-03-19,Dewey Beach,shot
2022,Wyoming,2022-03-18,Evansville,shot
2022,Texas,2022-03-18,Hutchinson County,shot
2022,New Mexico,2022-04-06,Albuquerque,shot
2022,Pennsylvania,2022-04-06,Philadelphia,shot
2022,Virginia,2022-04-07,Bridgewater,shot
2022,New York,2022-04-29,Hyde Park,shot
2022,Missouri,2022-05-03,Platte County,shot
2022,Alabama,2022-05-03,Prichard,shot
2022,Alabama,2022-05-02,Ozark,shot
2022,California,2022-05-01,Ducor,shot
2022,Oklahoma,2022-05-01,Hooker,shot
2022,Texas,2022-05-01,Midland,shot
2022,South Carolina,2022-05-01,Jacksonboro,shot
2022,Nebraska,2022-04-30,Beatrice,shot
2022,Georgia,2022-04-30,Duluth,shot
2022,Georgia,2022-04-29,Fairburn,shot
2022,Ohio,2022-05-04,Moraine,shot
2022,California,2022-04-28,Simi Valley,shot
2022,Minnesota,2022-04-28,Bowlus,shot
2022,Texas,2022-04-27,Houston,shot
2022,Rhode Island,2022-04-27,Woonsocket,shot
2022,Florida,2022-04-27,Orange Park,shot
2022,Florida,2022-04-27,Kissimmee,shot
2022,Colorado,2022-04-26,Evans,shot
2022,Michigan,2022-04-26,Roseville,shot
2022,Oregon,2022-04-25,Aurora,shot
2022,California,2022-05-03,Los Angeles,shot
2022,Washington,2022-05-04,Federal Way,shot
2022,Texas,2022-04-25,Amarillo,shot
2022,Oklahoma,2022-05-08,Tulsa,shot
2022,Florida,2022-05-13,West Palm Beach,shot
2022,New York,2022-05-13,New York,shot
2022,Missouri,2022-05-11,Cape Girardeau County,shot
2022,Texas,2022-05-10,Dime Box,shot
2022,Illinois,2022-05-10,Romeoville,shot
2022,Florida,2022-05-10,Carrollwood,shot
2022,New York,2022-05-10,New York,shot
2022,Arizona,2022-05-10,Yuma,shot
2022,California,2022-05-09,Del Norte County,shot
2022,Arkansas,2022-05-08,Springdale,shot
2022,Maryland,2022-05-04,Essex,shot
2022,Washington,2022-05-07,Wenatchee,shot
2022,North Carolina,2022-05-07,Raleigh,shot
2022,Florida,2022-05-07,Hallandale Beach,shot
2022,California,2022-05-06,Rosamond,shot
2022,Arizona,2022-05-06,Kayenta,shot
2022,Alabama,2022-05-05,Albertville,shot
2022,Texas,2022-05-05,Sugar Land,shot
2022,South Carolina,2022-05-05,Marion,shot
2022,California,2022-05-04,Paramount,shot
2022,Maryland,2022-04-25,Somerset County,shot
2022,Texas,2022-04-25,Cleveland,shot
2022,South Carolina,2022-04-07,Aiken,shot
2022,Georgia,2022-04-10,Savannah,shot
2022,Tennessee,2022-04-14,Knox County,shot
2022,Tennessee,2022-04-14,Bristol,shot
2022,Ohio,2022-04-13,Ashtabula,shot
2022,Louisiana,2022-04-13,Lafayette,shot
2022,New Jersey,2022-04-12,Edison,shot
2022,Oklahoma,2022-04-11,Tulsa,shot
2022,Colorado,2022-04-11,Manitou Springs,shot
2022,Oregon,2022-04-11,Salem,shot
2022,Kentucky,2022-04-11,Covington,shot
2022,Arizona,2022-04-09,Gilbert,shot
2022,Arizona,2022-04-14,Glendale,shot
2022,Texas,2022-04-09,Houston,shot
2022,California,2022-04-09,Covina,shot
2022,New Hampshire,2022-04-09,Derry,shot
2022,New Mexico,2022-04-09,Farmington,shot
2022,Michigan,2022-04-08,Taylor,shot
2022,Michigan,2022-04-08,Benton Harbor,shot
2022,Oklahoma,2022-04-07,Norman,shot
2022,West Virginia,2022-04-07,Doddridge County,shot
2022,California,2022-04-07,Fontana,shot
2022,South Carolina,2022-04-14,Darlington County,shot
2022,California,2022-04-14,Los Angeles,shot
2022,Louisiana,2022-04-24,Assumption Parish,shot
2022,Georgia,2022-04-19,Gordon County,shot
2022,Maryland,2022-04-23,Bel Air,shot
2022,District of Columbia,2022-04-23,Washington,shot
2022,Washington,2022-04-22,Edmonds,shot
2022,North Dakota,2022-04-21,Mott,shot
2022,Florida,2022-04-21,Jacksonville,shot
2022,New York,2022-04-20,Yonkers,shot
2022,Minnesota,2022-04-20,Chisholm,shot
2022,District of Columbia,2022-04-20,Washington,shot
2022,California,2022-04-20,Bakersfield,shot
2022,Texas,2022-04-19,Pasadena,shot
2022,Colorado,2022-04-14,Larimer County,shot
2022,California,2022-04-19,Linda,shot
2022,Texas,2022-04-18,Conroe,shot
2022,Oklahoma,2022-04-18,Vinita,shot
2022,New Mexico,2022-04-16,Las Cruces,shot
2022,New Mexico,2022-04-16,Prewitt,shot
2022,Georgia,2022-04-16,Atlanta,shot
2022,West Virginia,2022-04-16,Princeton,shot
2022,Kansas,2022-04-15,Cowley County,shot
2022,Ohio,2022-04-14,Huber Heights,shot
2022,California,2022-03-11,Siskiyou County,shot
2022,Mississippi,2022-03-11,Raymond,shot
2022,Oklahoma,2022-05-14,Sallisaw,shot
2022,Florida,2022-03-11,Miami-Dade County,shot
2022,Washington,2022-01-29,Battle Ground,shot
2022,Texas,2022-01-29,Denton,shot
2022,Missouri,2022-01-28,Springfield,shot
2022,California,2022-01-28,Coachella,shot
2022,New Mexico,2022-01-27,Rio Rancho,shot
2022,Washington,2022-01-27,Parkland,shot
2022,Tennessee,2022-01-27,Nashville,shot
2022,Oregon,2022-01-26,Portland,shot
2022,Tennessee,2022-01-26,Cordova,shot
2022,Missouri,2022-01-26,Ferguson,shot
2022,Tennessee,2022-01-25,Dandridge,shot
2022,Georgia,2022-01-25,Aragon,shot
2022,Missouri,2022-01-25,Madison County,shot
2022,Alabama,2022-01-24,Priceville,shot
2022,Washington,2022-01-24,Spokane,shot
2022,Missouri,2022-01-23,O'Fallon,shot
2022,Louisiana,2022-01-23,Lafayette,shot
2022,Massachusetts,2022-01-23,Burlington,shot
2022,Georgia,2022-01-23,Newnan,shot
2022,Arizona,2022-01-22,Phoenix,shot
2022,New York,2022-01-21,New York,shot
2022,Maryland,2022-01-30,Crofton,shot
2022,Idaho,2022-01-31,Orofino,shot
2022,Texas,2022-01-31,Mesquite,shot
2022,Kansas,2022-02-06,Topeka,shot
2022,Texas,2022-02-08,Corpus Christi,shot
2022,Arizona,2022-02-07,Phoenix,shot
2022,Missouri,2022-02-07,Kansas City,shot
2022,Arizona,2022-02-07,Marana,shot
2022,Texas,2022-02-07,Greenville,shot
2022,Texas,2022-02-07,Houston,shot
2022,Kentucky,2022-02-06,Powell County,shot
2022,Virginia,2022-02-06,Willis,shot
2022,Oregon,2022-02-06,Salem,shot
2022,South Carolina,2022-02-06,Georgetown County,shot
2022,Indiana,2022-01-31,Mishawaka,shot
2022,Alaska,2022-02-05,Aniak,shot
2022,North Carolina,2022-02-05,Lincoln County,shot
2022,Oregon,2022-02-04,Pineville,shot
2022,Oklahoma,2022-02-04,Tulsa,shot
2022,Indiana,2022-02-04,Evansville,shot
2022,Minnesota,2022-02-02,Minneapolis,shot
2022,California,2022-02-01,Los Angeles,shot
2022,New Mexico,2022-02-01,Albuquerque,shot
2022,Texas,2022-02-01,Wichita  Falls,shot
2022,Washington,2022-01-20,Lacey,shot
2022,New York,2022-01-20,New York,shot
2022,California,2022-01-20,San Francisco,shot
2022,Kentucky,2022-01-05,Frankfort,shot
2022,California,2022-01-09,Rialto,shot
2022,Massachusetts,2022-01-09,Springfield,shot
2022,Georgia,2022-01-09,Crawford County,shot
2022,Louisiana,2022-01-08,Baton Rouge,shot
2022,New Jersey,2022-01-06,Keansburg,shot
2022,Colorado,2022-01-06,Wheat Ridge,shot
2022,Texas,2022-01-05,Victoria,shot
2022,Arizona,2022-01-05,Prescott,shot
2022,South Carolina,2022-01-05,Florence County,shot
2022,North Carolina,2022-01-04,Bahama,shot
2022,Nevada,2022-01-10,Las Vegas,shot
2022,Pennsylvania,2022-01-04,Philadelphia,shot
2022,Arizona,2022-01-04,Paulden,shot
2022,Oregon,2022-01-04,Gresham,shot
2022,Arizona,2022-01-03,Mesa,shot
2022,Arizona,2022-01-03,Mesa,shot
2022,Idaho,2022-01-03,Murphy,shot
2022,California,2022-01-02,Wildomar,shot
2022,Ohio,2022-01-01,Canton,shot
2022,Louisiana,2022-01-01,Jonesboro,shot
2022,Washington,2022-01-09,Vancouver,shot
2022,California,2022-01-10,San Diego,shot
2022,California,2022-01-19,San Jose,shot
2022,Wyoming,2022-01-16,Gillette,shot
2022,Alabama,2022-01-19,Perdido,shot
2022,California,2022-01-18,Huntington Park,shot
2022,Illinois,2022-01-18,Wood River,shot
2022,California,2022-01-18,Hemet,shot
2022,Texas,2022-01-17,Harris County,shot
2022,Pennsylvania,2022-01-16,Harrisburg,shot
2022,Oklahoma,2022-01-16,Wagoner County,shot
2022,Washington,2022-01-16,Puyallup,shot
