Year,Date,State,City_Or_County,Killed,Injured
2022,27-Sep-22,Pennsylvania,Philadelphia,1,4
2022,27-Sep-22,New York,Corona (Queens),0,4
2022,25-Sep-22,Pennsylvania,Harrisburg,0,4
2022,25-Sep-22,Indiana,Hammond,1,3
2022,24-Sep-22,Ohio,Columbus,1,3
2022,24-Sep-22,Georgia,Louisville,1,3
2022,23-Sep-22,California,Castroville,0,4
2022,22-Sep-22,Illinois,Chicago,0,4
2022,20-Sep-22,New York,Mount Vernon,0,4
2022,20-Sep-22,Michigan,Niles,2,3
2022,19-Sep-22,Georgia,Swainsboro,1,3
2022,18-Sep-22,Wisconsin,Kenosha,2,2
2022,18-Sep-22,Michigan,Allendale,0,4
2022,18-Sep-22,Nevada,Las Vegas,0,5
2022,18-Sep-22,New York,Corona (Queens),1,3
2022,17-Sep-22,Missouri,Blue Springs,0,5
2022,17-Sep-22,Minnesota,Minneapolis,0,5
2022,16-Sep-22,Wisconsin,Milwaukee,0,5
2022,14-Sep-22,Wisconsin,Milwaukee,0,4
2022,14-Sep-22,Florida,Miami (North Miami),0,5
2022,14-Sep-22,California,Los Angeles,0,4
2022,13-Sep-22,Illinois,Chicago,2,7
2022,13-Sep-22,California,Oakland,0,4
2022,12-Sep-22,Oklahoma,Oklahoma City,0,4
2022,11-Sep-22,New Mexico,Santa Fe,0,5
2022,11-Sep-22,Michigan,Grand Rapids,0,4
2022,11-Sep-22,Michigan,Detroit,0,4
2022,11-Sep-22,North Carolina,Durham,1,3
2022,10-Sep-22,Indiana,Plainfield,2,2
2022,10-Sep-22,Kentucky,Lexington,0,4
2022,9-Sep-22,New York,Bronx,0,4
2022,9-Sep-22,Maryland,Elk Mills,5,0
2022,9-Sep-22,Minnesota,Minneapolis,1,3
2022,8-Sep-22,Minnesota,Minneapolis,0,4
2022,8-Sep-22,California,Los Angeles,0,4
2022,7-Sep-22,Tennessee,Memphis,3,3
2022,5-Sep-22,Missouri,Kansas City,2,2
2022,5-Sep-22,Georgia,Hartwell,2,2
2022,5-Sep-22,Ohio,Cleveland,1,10
2022,5-Sep-22,Pennsylvania,Philadelphia,2,4
2022,5-Sep-22,Missouri,Saint Louis,0,4
2022,4-Sep-22,Minnesota,Saint Paul,3,2
